step,joint,action,target_q,q_curr,tau
150,L_hip_yaw,0.240388,0.000000,-0.009540,1.127732
150,L_hip_pitch,-1.685370,-0.130000,-0.065733,-8.488807
150,L_knee,0.838632,-0.320000,-0.359027,8.260000
150,L_foot_pitch,2.374106,0.190000,0.237925,-4.328445
150,L_foot_roll,1.696214,0.000000,0.000128,-0.062907
150,R_hip_roll,-0.199667,0.000000,-0.007458,1.338019
150,R_hip_yaw,-0.032710,0.000000,0.007351,-0.896727
150,R_hip_pitch,0.611419,0.130000,0.063938,8.787870
150,R_knee,1.459602,0.320000,0.358563,-7.703338
150,R_foot_pitch,-2.075245,-0.190000,-0.239276,4.402833
150,R_foot_roll,0.148615,0.000000,0.000645,-0.008133
160,L_hip_roll,1.592729,0.000000,-0.007529,1.342428
160,L_hip_yaw,0.264712,0.000000,-0.009312,1.088559
160,L_hip_pitch,-1.631388,-0.130000,-0.060416,-8.710686
160,L_knee,0.713046,-0.320000,-0.364699,10.001046
160,L_foot_pitch,2.077431,0.190000,0.243560,-4.922562
160,L_foot_roll,1.720537,0.000000,-0.000136,0.036509
160,R_hip_roll,-0.295411,0.000000,-0.006901,1.201827
160,R_hip_yaw,-0.042193,0.000000,0.007560,-0.934752
160,R_hip_pitch,0.689362,0.130000,0.057923,9.036560
160,R_knee,1.500292,0.320000,0.362779,-9.402159
160,R_foot_pitch,-2.191547,-0.190000,-0.244020,4.788828
160,R_foot_roll,0.046233,0.000000,0.000325,-0.076909
170,L_hip_roll,1.539379,0.000000,-0.007107,1.291392
170,L_hip_yaw,0.228532,0.000000,-0.008982,1.039115
170,L_hip_pitch,-1.582567,-0.130000,-0.058999,-8.528980
170,L_knee,0.702714,-0.320000,-0.372454,11.862785
170,L_foot_pitch,1.754874,0.190000,0.249284,-5.265837
170,L_foot_roll,1.608310,0.000000,-0.000322,0.011022
170,R_hip_roll,-0.142969,0.000000,-0.006383,1.120905
170,R_hip_yaw,-0.025907,0.000000,0.007873,-0.982484
170,R_hip_pitch,0.597469,0.130000,0.055823,8.953007
170,R_knee,1.528172,0.320000,0.369030,-10.924838
170,R_foot_pitch,-2.170286,-0.190000,-0.248983,5.190887
170,R_foot_roll,-0.019807,0.000000,-0.000085,0.012852
180,L_hip_roll,1.346441,0.000000,-0.006645,1.205386
180,L_hip_yaw,0.287760,0.000000,-0.008551,0.979196
180,L_hip_pitch,-1.440189,-0.130000,-0.059997,-8.214447
180,L_knee,0.685857,-0.320000,-0.380224,13.106031
180,L_foot_pitch,1.788789,0.190000,0.254287,-5.580126
180,L_foot_roll,1.604661,0.000000,-0.000649,0.031117
180,R_hip_roll,-0.276981,0.000000,-0.005885,1.056607
180,R_hip_yaw,-0.049418,0.000000,0.008288,-1.040139
180,R_hip_pitch,0.792134,0.130000,0.056528,8.642520
180,R_knee,1.488438,0.320000,0.375933,-12.140803
180,R_foot_pitch,-2.281267,-0.190000,-0.253422,5.433741
180,R_foot_roll,0.042153,0.000000,-0.000304,-0.055252
190,L_hip_roll,1.326562,0.000000,-0.006234,1.111248
190,L_hip_yaw,0.252986,0.000000,-0.008056,0.914351
190,L_hip_pitch,-1.469388,-0.130000,-0.062389,-7.876971
190,L_knee,0.684503,-0.320000,-0.386840,13.585170
190,L_foot_pitch,1.662105,0.190000,0.258340,-5.891018
190,L_foot_roll,1.434123,0.000000,-0.000998,0.119411
190,R_hip_roll,-0.232883,0.000000,-0.005455,0.962537
190,R_hip_yaw,-0.027089,0.000000,0.008770,-1.103598
190,R_hip_pitch,0.709739,0.130000,0.058821,8.279332
190,R_knee,1.451263,0.320000,0.381975,-12.720212
190,R_foot_pitch,-2.281142,-0.190000,-0.256959,5.732045
190,R_foot_roll,0.030598,0.000000,-0.000702,0.068719
200,L_hip_roll,1.358647,0.000000,-0.005841,1.037464
200,L_hip_yaw,0.281904,0.000000,-0.007527,0.848740
200,L_hip_pitch,-1.282807,-0.130000,-0.065390,-7.465707
200,L_knee,0.604466,-0.320000,-0.391380,13.782114
200,L_foot_pitch,1.725790,0.190000,0.260817,-5.921641
200,L_foot_roll,1.481264,0.000000,-0.001340,0.122962
200,R_hip_roll,-0.365085,0.000000,-0.005071,0.888049
200,R_hip_yaw,0.001290,0.000000,0.009286,-1.169153
200,R_hip_pitch,0.826925,0.130000,0.062050,7.795993
200,R_knee,1.343347,0.320000,0.386532,-13.139973
200,R_foot_pitch,-2.461797,-0.190000,-0.259257,5.700575
200,R_foot_roll,0.013184,0.000000,-0.001080,0.088282
210,L_hip_roll,1.305666,0.000000,-0.005504,0.979184
210,L_hip_yaw,0.220046,0.000000,-0.007010,0.789220
210,L_hip_pitch,-1.154179,-0.130000,-0.068631,-7.064520
210,L_knee,0.560696,-0.320000,-0.393585,13.455449
210,L_foot_pitch,1.481154,0.190000,0.261829,-5.856366
210,L_foot_roll,1.352900,0.000000,-0.001670,0.147139
210,R_hip_roll,-0.337101,0.000000,-0.004767,0.858633
210,R_hip_yaw,0.034466,0.000000,0.009791,-1.226299
210,R_hip_pitch,0.807293,0.130000,0.065651,7.328450
210,R_knee,1.257958,0.320000,0.388986,-12.974149
210,R_foot_pitch,-2.663885,-0.190000,-0.260125,5.612433
210,R_foot_roll,-0.064738,0.000000,-0.001403,0.047779
220,L_hip_roll,1.211383,0.000000,-0.005189,0.977746
220,L_hip_yaw,0.211014,0.000000,-0.006545,0.742427
220,L_hip_pitch,-1.003196,-0.130000,-0.072015,-6.600864
220,L_knee,0.568633,-0.320000,-0.393539,12.978371
220,L_foot_pitch,1.461559,0.190000,0.261421,-5.567018
220,L_foot_roll,1.198436,0.000000,-0.001990,0.080206
220,R_hip_roll,-0.405821,0.000000,-0.004516,0.834850
220,R_hip_yaw,0.047895,0.000000,0.010246,-1.270679
220,R_hip_pitch,0.773176,0.130000,0.069543,6.854913
220,R_knee,1.179492,0.320000,0.389509,-12.412861
220,R_foot_pitch,-2.766351,-0.190000,-0.259832,5.509294
220,R_foot_roll,-0.141357,0.000000,-0.001570,0.175450
230,L_hip_roll,1.042989,0.000000,-0.004895,0.919978
230,L_hip_yaw,0.186349,0.000000,-0.006169,0.707542
230,L_hip_pitch,-0.828732,-0.130000,-0.075593,-6.140484
230,L_knee,0.472355,-0.320000,-0.391485,12.087854
230,L_foot_pitch,1.241378,0.190000,0.259744,-5.320008
230,L_foot_roll,1.023540,0.000000,-0.002293,0.106503
230,R_hip_roll,-0.464084,0.000000,-0.004279,0.800853
230,R_hip_yaw,0.071507,0.000000,0.010611,-1.305919
230,R_hip_pitch,0.783241,0.130000,0.073627,6.329311
230,R_knee,1.067546,0.320000,0.388087,-11.674773
230,R_foot_pitch,-2.846030,-0.190000,-0.258334,5.258928
230,R_foot_roll,-0.206851,0.000000,-0.002044,0.166503
240,L_hip_roll,0.891049,0.000000,-0.004592,0.820773
240,L_hip_yaw,0.166606,0.000000,-0.005909,0.689026
240,L_hip_pitch,-0.654802,-0.130000,-0.079594,-5.615919
240,L_knee,0.426030,-0.320000,-0.387988,11.081749
240,L_foot_pitch,1.040348,0.190000,0.257156,-5.086100
240,L_foot_roll,0.815919,0.000000,-0.002631,0.266680
240,R_hip_roll,-0.435465,0.000000,-0.004063,0.750889
240,R_hip_yaw,0.075983,0.000000,0.010861,-1.323788
240,R_hip_pitch,0.774830,0.130000,0.078148,5.736557
240,R_knee,0.925491,0.320000,0.385313,-10.829064
240,R_foot_pitch,-2.853239,-0.190000,-0.255876,4.982504
240,R_foot_roll,-0.291830,0.000000,-0.002368,0.195646
250,L_hip_roll,0.758634,0.000000,-0.004258,0.692875
250,L_hip_yaw,0.151568,0.000000,-0.005781,0.687144
250,L_hip_pitch,-0.379883,-0.130000,-0.084212,-5.014243
250,L_knee,0.308832,-0.320000,-0.383558,9.944145
250,L_foot_pitch,0.797090,0.190000,0.253829,-4.725159
250,L_foot_roll,0.595789,0.000000,-0.003156,0.469444
250,R_hip_roll,-0.412628,0.000000,-0.003854,0.690994
250,R_hip_yaw,0.080165,0.000000,0.010980,-1.324678
250,R_hip_pitch,0.783090,0.130000,0.083251,5.060759
250,R_knee,0.665953,0.320000,0.381636,-9.955071
250,R_foot_pitch,-2.786899,-0.190000,-0.252751,4.667700
250,R_foot_roll,-0.371975,0.000000,-0.002592,0.203380
260,L_hip_roll,0.428814,0.000000,-0.003874,0.604597
260,L_hip_yaw,0.113848,0.000000,-0.005794,0.703676
260,L_hip_pitch,-0.148321,-0.130000,-0.089559,-4.291063
260,L_knee,0.213727,-0.320000,-0.378610,8.990172
260,L_foot_pitch,0.468610,0.190000,0.249891,-4.376133
260,L_foot_roll,0.400551,0.000000,-0.003523,0.500969
260,R_hip_roll,-0.371822,0.000000,-0.003582,0.616805
260,R_hip_yaw,0.077390,0.000000,0.010955,-1.305979
